id,user_id,order_id,category,fortune_draw_id,fkey,allocated_date,active_date
1321,27,15,1,7,ABTTVB,"2025-04-15 11:16:26","2025-05-04 17:30:00"
1106,27,11,1,9,AMFODE,"2025-04-14 18:28:26","2025-05-18 17:30:00"
896,27,0,4,7,AQAXON,"2025-04-14 18:14:37","2025-04-14 18:14:37"
1341,27,15,1,9,AUXDVS,"2025-04-15 11:16:26","2025-05-18 17:30:00"
4736,27,0,3,8,BNOLEG,"2025-05-08 12:36:22","2025-05-08 12:36:22"
1344,27,15,1,9,CCTUUM,"2025-04-15 11:16:26","2025-05-18 17:30:00"
1089,27,11,1,7,CKCZKH,"2025-04-14 18:28:26","2025-05-04 17:30:00"
1114,27,11,1,10,CRSWYX,"2025-04-14 18:28:26","2025-05-25 17:30:00"
903,27,0,4,7,CSWJWT,"2025-04-14 18:14:37","2025-04-14 18:14:37"
1317,27,15,1,7,DAIGPH,"2025-04-15 11:16:26","2025-05-04 17:30:00"
1351,27,15,1,10,DDUBNU,"2025-04-15 11:16:27","2025-05-25 17:30:00"
1099,27,11,1,8,DEKTPQ,"2025-04-14 18:28:26","2025-05-11 17:30:00"
1345,27,15,1,9,EJUKRZ,"2025-04-15 11:16:26","2025-05-18 17:30:00"
1340,27,15,1,9,EVECXY,"2025-04-15 11:16:26","2025-05-18 17:30:00"
1353,27,15,1,10,EYBTOP,"2025-04-15 11:16:27","2025-05-25 17:30:00"
1316,27,15,1,7,FBTCVU,"2025-04-15 11:16:26","2025-05-04 17:30:00"
1322,27,15,1,7,FFKQQH,"2025-04-15 11:16:26","2025-05-04 17:30:00"
4735,27,0,3,8,FHHEGU,"2025-05-08 12:36:22","2025-05-08 12:36:22"
906,27,0,4,7,FPPAYL,"2025-04-14 18:14:37","2025-04-14 18:14:37"
1361,27,15,1,10,FUDTMR,"2025-04-15 11:16:27","2025-05-25 17:30:00"
1339,27,15,1,9,GGIOAZ,"2025-04-15 11:16:26","2025-05-18 17:30:00"
1359,27,15,1,10,GIFXCX,"2025-04-15 11:16:27","2025-05-25 17:30:00"
1350,27,15,1,10,GKNKHF,"2025-04-15 11:16:27","2025-05-25 17:30:00"
886,27,0,4,7,GMLTQQ,"2025-04-14 18:14:37","2025-04-14 18:14:37"
1115,27,11,1,10,GQGIMP,"2025-04-14 18:28:26","2025-05-25 17:30:00"
897,27,0,4,7,GUEAME,"2025-04-14 18:14:37","2025-04-14 18:14:37"
1100,27,11,1,9,HAMAHS,"2025-04-14 18:28:26","2025-05-18 17:30:00"
1320,27,15,1,7,HEWPGG,"2025-04-15 11:16:26","2025-05-04 17:30:00"
1095,27,11,1,8,HLPPOT,"2025-04-14 18:28:26","2025-05-11 17:30:00"
1356,27,15,1,10,HPRMLU,"2025-04-15 11:16:27","2025-05-25 17:30:00"
1360,27,15,1,10,HRIECW,"2025-04-15 11:16:27","2025-05-25 17:30:00"
899,27,0,4,7,IMOPXH,"2025-04-14 18:14:37","2025-04-14 18:14:37"
1109,27,11,1,10,INLAZA,"2025-04-14 18:28:26","2025-05-25 17:30:00"
4739,27,0,3,8,IUSKYP,"2025-05-08 12:36:22","2025-05-08 12:36:22"
1111,27,11,1,10,IWUJJT,"2025-04-14 18:28:26","2025-05-25 17:30:00"
1318,27,15,1,7,JQLMJP,"2025-04-15 11:16:26","2025-05-04 17:30:00"
900,27,0,4,7,JXVMSL,"2025-04-14 18:14:37","2025-04-14 18:14:37"
1338,27,15,1,9,KCZZOD,"2025-04-15 11:16:26","2025-05-18 17:30:00"
4740,27,0,3,8,KFKCHA,"2025-05-08 12:36:22","2025-05-08 12:36:22"
1342,27,15,1,9,KFLBBH,"2025-04-15 11:16:26","2025-05-18 17:30:00"
4734,27,0,3,8,KHRPTC,"2025-05-08 12:36:22","2025-05-08 12:36:22"
1323,27,15,1,7,LENEFI,"2025-04-15 11:16:26","2025-05-04 17:30:00"
1103,27,11,1,9,LEZKPZ,"2025-04-14 18:28:26","2025-05-18 17:30:00"
1325,27,15,1,7,LPCGLF,"2025-04-15 11:16:26","2025-05-04 17:30:00"
887,27,0,4,7,LSVUSM,"2025-04-14 18:14:37","2025-04-14 18:14:37"
891,27,0,4,7,LVELVA,"2025-04-14 18:14:37","2025-04-14 18:14:37"
4738,27,0,3,8,MJAMAL,"2025-05-08 12:36:22","2025-05-08 12:36:22"
1086,27,11,1,7,MKHWLU,"2025-04-14 18:28:26","2025-05-04 17:30:00"
4733,27,0,3,8,MPSIUF,"2025-05-08 12:36:22","2025-05-08 12:36:22"
1336,27,15,1,8,MRGQRB,"2025-04-15 11:16:26","2025-05-11 17:30:00"
892,27,0,4,7,MTUWIG,"2025-04-14 18:14:37","2025-04-14 18:14:37"
1107,27,11,1,9,MUMKGN,"2025-04-14 18:28:26","2025-05-18 17:30:00"
1087,27,11,1,7,MWIHHS,"2025-04-14 18:28:26","2025-05-04 17:30:00"
1085,27,11,1,7,MWTKQD,"2025-04-14 18:28:26","2025-05-04 17:30:00"
1327,27,15,1,8,MWTUVP,"2025-04-15 11:16:26","2025-05-11 17:30:00"
1090,27,11,1,7,NKHUTA,"2025-04-14 18:28:26","2025-05-04 17:30:00"
1094,27,11,1,8,NMIBLG,"2025-04-14 18:28:26","2025-05-11 17:30:00"
894,27,0,4,7,NVHDER,"2025-04-14 18:14:37","2025-04-14 18:14:37"
4742,27,0,3,8,OGROOM,"2025-05-08 12:36:22","2025-05-08 12:36:22"
1358,27,15,1,10,OYEDJW,"2025-04-15 11:16:27","2025-05-25 17:30:00"
1315,27,15,1,7,OYXIEU,"2025-04-15 11:16:26","2025-05-04 17:30:00"
1108,27,11,1,10,PAEROY,"2025-04-14 18:28:26","2025-05-25 17:30:00"
1113,27,11,1,10,PJLMNH,"2025-04-14 18:28:26","2025-05-25 17:30:00"
1355,27,15,1,10,POCAKP,"2025-04-15 11:16:27","2025-05-25 17:30:00"
901,27,0,4,7,QANMNF,"2025-04-14 18:14:37","2025-04-14 18:14:37"
1092,27,11,1,8,QJEQJA,"2025-04-14 18:28:26","2025-05-11 17:30:00"
902,27,0,4,7,QRTDAV,"2025-04-14 18:14:37","2025-04-14 18:14:37"
1335,27,15,1,8,RBEJJT,"2025-04-15 11:16:26","2025-05-11 17:30:00"
4737,27,0,3,8,RNNHCS,"2025-05-08 12:36:22","2025-05-08 12:36:22"
905,27,0,4,7,ROGUNU,"2025-04-14 18:14:37","2025-04-14 18:14:37"
1110,27,11,1,10,RSNZDI,"2025-04-14 18:28:26","2025-05-25 17:30:00"
1357,27,15,1,10,SBCRNV,"2025-04-15 11:16:27","2025-05-25 17:30:00"
1334,27,15,1,8,SIEYOK,"2025-04-15 11:16:26","2025-05-11 17:30:00"
1096,27,11,1,8,SJRESY,"2025-04-14 18:28:26","2025-05-11 17:30:00"
888,27,0,4,7,SKEGXU,"2025-04-14 18:14:37","2025-04-14 18:14:37"
1105,27,11,1,9,SRHJAW,"2025-04-14 18:28:26","2025-05-18 17:30:00"
1349,27,15,1,9,SWRQWJ,"2025-04-15 11:16:26","2025-05-18 17:30:00"
1333,27,15,1,8,SYUWGO,"2025-04-15 11:16:26","2025-05-11 17:30:00"
1097,27,11,1,8,THJXGD,"2025-04-14 18:28:26","2025-05-11 17:30:00"
1102,27,11,1,9,TSAOPO,"2025-04-14 18:28:26","2025-05-18 17:30:00"
908,27,0,4,7,TVZXDR,"2025-04-14 18:14:37","2025-04-14 18:14:37"
1347,27,15,1,9,TYAKEG,"2025-04-15 11:16:26","2025-05-18 17:30:00"
1328,27,15,1,8,UGHAUB,"2025-04-15 11:16:26","2025-05-11 17:30:00"
4741,27,0,3,8,UQVBNR,"2025-05-08 12:36:22","2025-05-08 12:36:22"
1314,27,15,1,7,VKKHFP,"2025-04-15 11:16:26","2025-05-04 17:30:00"
